City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
208,Arraial Do Cabo,BR,-22.9661,-42.0278,78.8,78,0,9.22,clear sky
209,Mezen,RU,65.8522,44.24,34.77,88,100,16.13,overcast clouds
210,Oistins,BB,13.0667,-59.5333,78.8,69,75,13.8,volcanic ash
211,Seoul,KR,37.5683,126.9778,57.2,51,0,4.61,clear sky
212,Itarantim,BR,-15.6597,-40.0656,72.91,78,79,4.9,broken clouds
213,Sinnamary,GF,5.3833,-52.95,78.42,83,58,4.59,broken clouds
214,Ust-Ishim,RU,57.6935,71.1665,36.18,81,98,8.9,overcast clouds
215,Katsuura,JP,35.1333,140.3,57.0,66,24,9.46,few clouds
216,Lewistown,US,40.5992,-77.5714,66.0,88,40,5.75,scattered clouds
217,Biltine,TD,14.5333,20.9167,83.68,10,0,19.1,clear sky
218,San Severo,IT,41.6897,15.376,51.8,87,20,5.75,few clouds
219,Namatanai,PG,-3.6667,152.4333,78.96,83,100,6.24,light rain
220,Esperance,AU,-33.8667,121.9,60.8,72,40,21.85,light rain
221,Cordoba,AR,-31.4135,-64.1811,62.6,55,0,4.61,clear sky
222,Igrim,RU,63.1906,64.4162,34.63,86,9,11.14,clear sky
223,Sola,VU,-13.8833,167.55,84.2,100,99,2.3,overcast clouds
224,Korla,CN,41.7597,86.1469,52.34,42,36,19.24,scattered clouds
225,Laiwu,CN,36.1928,117.6569,54.48,89,100,2.91,overcast clouds
226,Flin Flon,CA,54.7682,-101.865,33.8,64,90,10.36,overcast clouds
227,Labuhan,ID,-6.8844,112.2051,77.52,86,54,4.72,broken clouds
228,Quelimane,MZ,-17.8786,36.8883,78.01,94,40,3.44,scattered clouds
229,Kurilsk,RU,45.2333,147.8833,40.87,57,45,7.67,scattered clouds
230,General Roca,AR,-39.0333,-67.5833,73.4,40,0,4.61,clear sky
231,Yellowknife,CA,62.456,-114.3525,10.0,66,90,5.75,light snow
232,Beruwala,LK,6.4788,79.9828,77.45,84,100,2.91,overcast clouds
233,Malkangiri,IN,18.35,81.9,80.06,58,76,2.73,broken clouds
234,Fortuna,US,40.5982,-124.1573,60.01,66,1,16.11,clear sky
235,Bandarbeyla,SO,9.4942,50.8122,78.69,72,9,6.78,clear sky
236,Mizoch,UA,50.4,26.15,46.99,47,88,5.99,overcast clouds
237,Necochea,AR,-38.5473,-58.7368,60.01,88,0,3.0,clear sky
238,Bonavista,CA,48.6499,-53.1147,35.6,100,100,8.05,moderate rain
239,Maracacume,BR,-2.0428,-45.9592,75.85,93,100,2.98,light rain
240,Sakaiminato,JP,35.55,133.2333,51.8,66,75,4.61,broken clouds
241,Cabo San Lucas,MX,22.8909,-109.9124,86.0,36,40,14.97,scattered clouds
242,Isangel,VU,-19.55,169.2667,82.4,89,75,5.75,broken clouds
243,Fairbanks,US,64.8378,-147.7164,30.0,37,90,11.5,overcast clouds
244,Bairiki,KI,1.3292,172.9752,84.2,79,75,9.22,broken clouds
245,Rocha,UY,-34.4833,-54.3333,63.12,74,99,19.57,overcast clouds
246,The Valley,AI,18.217,-63.0578,78.8,61,20,8.05,few clouds
247,Ulladulla,AU,-35.35,150.4667,54.0,47,0,12.66,clear sky
248,Sabang,ID,5.8933,95.3214,82.35,72,4,4.32,clear sky
249,Nambucca Heads,AU,-30.65,153.0,60.8,41,0,8.05,clear sky
250,Mayya,RU,61.7333,130.2811,14.0,79,40,6.71,light snow
251,Fredericksburg,US,38.3032,-77.4605,78.8,34,75,8.05,broken clouds
252,Bengkulu,ID,-3.8004,102.2655,75.34,90,100,4.21,overcast clouds
253,Roald,NO,62.5833,6.1333,37.4,81,31,13.8,scattered clouds
254,Durban,ZA,-29.8579,31.0292,75.99,88,20,3.44,few clouds
255,San Ramon,US,37.7799,-121.978,78.01,25,1,5.75,clear sky
256,Sao Filipe,CV,14.8961,-24.4956,75.65,67,0,10.74,clear sky
257,Natal,BR,-5.795,-35.2094,80.6,83,75,9.22,broken clouds
258,Sertania,BR,-8.0736,-37.2644,71.22,89,100,4.94,moderate rain
259,Ushumun,RU,52.7833,126.5333,17.17,60,100,8.57,overcast clouds
260,Neiafu,TO,-18.65,-173.9833,82.4,69,40,6.91,scattered clouds
261,Dragoesti,RO,47.55,26.0833,43.0,52,0,9.22,light rain
262,Oshawa,CA,43.9001,-78.8496,55.4,100,90,14.97,light rain
263,Vao,NC,-22.6667,167.4833,75.99,78,46,6.26,scattered clouds
264,Salair,RU,54.2312,85.7972,27.93,96,87,1.34,overcast clouds
265,Caibarien,CU,22.5206,-79.4669,91.4,40,22,11.5,few clouds
266,Talnakh,RU,69.4865,88.3972,23.52,94,100,13.27,overcast clouds
267,Hami,CN,42.8,93.45,52.65,38,100,14.14,overcast clouds
268,Alofi,NU,-19.0595,-169.9187,80.6,78,38,6.91,scattered clouds
269,Shenjiamen,CN,29.9576,122.298,60.4,97,100,16.42,light rain
270,Sabya,SA,17.1495,42.6254,82.4,78,0,8.05,clear sky
271,Husavik,IS,66.0449,-17.3389,33.8,80,75,4.61,broken clouds
272,Rincon,US,32.296,-81.2354,73.4,68,75,10.36,broken clouds
273,Khanpur,PK,28.6453,70.6567,81.19,10,3,7.18,clear sky
274,Dingle,PH,10.9995,122.6711,74.89,87,99,5.26,overcast clouds
275,Sorong,ID,-0.8833,131.25,79.34,82,83,4.09,broken clouds
276,Mazagao,BR,-0.115,-51.2894,82.4,83,20,4.61,few clouds
277,Kalemie,CD,-5.9475,29.1947,70.65,85,85,0.65,overcast clouds
278,Nieuw Nickerie,SR,5.95,-56.9833,77.85,84,100,4.7,overcast clouds
279,Athabasca,CA,54.7169,-113.2854,37.4,48,99,2.3,overcast clouds
280,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,73,0,3.8,clear sky
281,Sandpoint,US,48.2766,-116.5533,50.0,36,75,9.22,broken clouds
282,Sambava,MG,-14.2667,50.1667,75.76,88,100,8.86,light rain
283,Gazli,UZ,40.1333,63.45,53.73,44,0,11.72,clear sky
284,Tabou,CI,4.423,-7.3528,80.73,84,40,7.54,scattered clouds
285,Erzin,TR,36.9559,36.2,50.0,76,46,2.71,scattered clouds
286,Santiago Tuxtla,MX,18.4667,-95.3,97.75,30,0,4.61,clear sky
287,Hare Bay,CA,48.8499,-54.0148,41.0,100,100,8.05,overcast clouds
288,Nhulunbuy,AU,-12.2333,136.7667,78.8,89,57,4.18,broken clouds
289,Aykhal,RU,66.0,111.5,-4.88,100,80,5.48,broken clouds
290,Obo,CF,5.3998,26.4869,74.44,69,86,8.75,overcast clouds
291,San Patricio,US,28.017,-97.5169,86.0,48,1,12.66,clear sky
292,Ponta Delgada,PT,37.7333,-25.6667,62.6,94,75,9.22,broken clouds
293,Tenenkou,ML,14.4572,-4.9169,90.82,7,0,5.46,clear sky
294,Xichang,CN,27.8964,102.2634,52.23,82,3,1.88,clear sky
295,Torbay,CA,47.6666,-52.7314,33.01,100,90,12.66,fog
296,Tsaratanana,MG,-16.7833,47.65,72.03,81,100,7.76,overcast clouds
297,Rundu,NA,-17.9333,19.7667,62.42,50,27,5.82,scattered clouds
298,Beloha,MG,-25.1667,45.05,72.23,89,22,11.16,few clouds
299,Goya,AR,-29.14,-59.2626,63.77,70,12,8.5,few clouds
300,Mahina,PF,-17.5065,-149.489,86.0,66,75,14.97,broken clouds
301,Vinh,VN,18.6667,105.6667,72.54,93,26,1.92,scattered clouds
302,Kota Kinabalu,MY,5.9749,116.0724,73.4,94,20,2.3,few clouds
303,Yamada,JP,39.4667,141.95,48.96,66,3,5.59,clear sky
304,Eyl,SO,7.9803,49.8164,78.94,70,30,8.37,scattered clouds
305,Baiyin,CN,36.5583,104.2081,45.0,93,0,6.71,clear sky
306,Nabire,ID,-3.3667,135.4833,75.31,86,41,4.09,scattered clouds
307,Kavaratti,IN,10.5669,72.642,82.74,69,3,4.83,clear sky
308,Plettenberg Bay,ZA,-34.0527,23.3716,61.86,85,81,3.69,broken clouds
309,Kiama,AU,-34.6833,150.8667,57.0,52,17,4.0,few clouds
310,Coihaique,CL,-45.5752,-72.0662,60.8,55,75,12.66,light rain
311,Pinjaur,IN,30.7972,76.9172,73.31,17,21,8.05,few clouds
312,Sao Felix Do Xingu,BR,-6.6447,-51.995,75.33,88,99,2.17,overcast clouds
313,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.8,69,0,6.91,clear sky
314,Antofagasta,CL,-23.65,-70.4,62.6,77,40,14.97,scattered clouds
315,Aginskoye,RU,51.1,114.53,18.68,53,91,10.25,overcast clouds
316,Saint-Georges,GD,12.0564,-61.7485,82.4,74,20,9.22,few clouds
317,Tres Picos,MX,15.8667,-93.5333,88.61,52,0,8.79,clear sky
318,Encruzilhada Do Sul,BR,-30.5439,-52.5219,61.32,83,100,12.39,overcast clouds
319,Salalah,OM,17.0151,54.0924,80.6,74,20,2.3,few clouds
320,Pombas,CV,17.1503,-25.0201,71.6,78,20,16.11,few clouds
321,Zalari,RU,53.5584,102.5065,25.14,78,98,3.94,overcast clouds
322,Grand-Santi,GF,4.25,-54.3833,74.8,96,81,2.17,broken clouds
323,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.2,69,78,6.71,broken clouds
324,Srednekolymsk,RU,67.45,153.6833,-11.99,93,95,2.93,overcast clouds
325,Salinas,US,36.6777,-121.6555,62.6,55,1,16.11,clear sky
326,Lima,PE,-12.0432,-77.0282,73.4,64,0,9.22,clear sky
327,Bathsheba,BB,13.2167,-59.5167,78.8,69,75,13.8,volcanic ash
328,Beliator,IN,23.3333,87.2167,82.99,37,8,5.41,clear sky
329,Hithadhoo,MV,-0.6,73.0833,82.85,74,96,11.56,overcast clouds
330,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.81,86,100,9.86,moderate rain
331,Grand Haven,US,43.0631,-86.2284,53.6,58,90,8.05,overcast clouds
332,Codrington,AU,-38.2667,141.9667,55.67,71,92,8.55,overcast clouds
333,Honiara,SB,-9.4333,159.95,77.9,87,100,3.22,overcast clouds
334,Thung Song,TH,8.1645,99.6804,74.84,93,64,3.47,broken clouds
335,Leh,IN,34.1667,77.5833,29.53,90,100,2.51,light snow
336,Kargil,IN,34.5667,76.1,28.9,70,98,4.09,overcast clouds
337,Thinadhoo,MV,0.5333,72.9333,82.69,69,61,10.56,broken clouds
338,Stykkisholmur,IS,65.0757,-22.7297,32.11,79,98,9.1,overcast clouds
339,Gamboma,CG,-1.8764,15.8644,71.15,88,38,3.09,scattered clouds
340,Sand Springs,US,36.1398,-96.1089,86.0,15,1,6.91,clear sky
341,Otane,NZ,-39.8833,176.6333,70.0,82,94,1.99,overcast clouds
342,Kornye,HU,47.5467,18.3208,53.01,75,0,10.36,clear sky
343,Colac,AU,-38.3333,143.5833,50.0,97,88,3.78,overcast clouds
344,Kuusamo,FI,65.9667,29.1833,30.2,80,0,10.36,clear sky
345,Saint-Marc-Des-Carrieres,CA,46.6834,-72.0491,53.01,57,21,11.5,few clouds
346,Vestmannaeyjar,IS,63.4427,-20.2734,40.87,86,100,16.93,overcast clouds
347,Kaeo,NZ,-35.1,173.7833,69.01,98,85,2.13,overcast clouds
